date	post_url	video_url
2021-02-03	http://news.gdmztv.com/2021/275957.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/02/03/795445830c6647f899453fd2c9b2e146/h264_1200k_mp4.mp4
2021-02-04	http://news.gdmztv.com/2021/276026.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/02/04/3fbd4a1e54264d6eaae026cbe2d3ce8d/h264_1200k_mp4.mp4
2021-02-05	http://news.gdmztv.com/2021/276113.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/02/05/bd66b5c1693e4b3d89a85754b264e694/h264_1200k_mp4.mp4
2021-02-06	http://news.gdmztv.com/2021/276182.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/02/06/24f520d26fb74df28e36c2b25e8b538b/h264_1200k_mp4.mp4
2021-02-07	http://news.gdmztv.com/2021/276218.shtml	
2021-02-08	http://news.gdmztv.com/2021/276285.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/02/08/c26172b3684b4dfd8a476768c677f031/h264_1200k_mp4.mp4
2021-02-09	http://news.gdmztv.com/2021/276358.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/02/09/8f26c6fae8ff49cf92414dca33be055d/h264_1200k_mp4.mp4
2021-02-10	http://news.gdmztv.com/2021/276421.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/02/10/8cea101e1b6a474097fb12e1169a6c8d/h264_1200k_mp4.mp4
2021-02-11	http://news.gdmztv.com/2021/276475.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/02/11/db905b54a96e41f4afb9c6152d602cc2/h264_1200k_mp4.mp4
2021-02-12	http://news.gdmztv.com/2021/276555.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/02/12/a24e1879629c4d64ae17c42367941928/h264_1200k_mp4.mp4
2021-02-13	http://news.gdmztv.com/2021/276589.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/02/13/d8218351ba514e86a413c0faa6bdcb27/h264_1200k_mp4.mp4
2021-02-14	http://news.gdmztv.com/2021/276625.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/02/14/5d989b28cfc94290877cf542ce1e6093/h264_1200k_mp4.mp4
2021-02-15	http://news.gdmztv.com/2021/276667.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/02/15/ae37c8bec9864da1aad18f335bbaf025/h264_1200k_mp4.mp4
2021-02-16	http://news.gdmztv.com/2021/276716.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/02/16/abfc78ee5c754a818e70dc23697f07bd/h264_1200k_mp4.mp4
2021-02-17	http://news.gdmztv.com/2021/276795.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/02/17/7c0d338a3dd94b0fbf63b96aeccd90e6/h264_1200k_mp4.mp4
2021-02-18	http://news.gdmztv.com/2021/276852.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/02/18/fee67bf824344fd0ba4ccdd993913583/h264_1200k_mp4.mp4
2021-02-19	http://news.gdmztv.com/2021/276884.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/02/19/6e73470751e343b09e1437692a7ef68e/h264_1200k_mp4.mp4
2021-02-20	http://news.gdmztv.com/2021/276971.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/02/20/558c30b99af0462faa312f558bd43964/h264_1200k_mp4.mp4
2021-02-21	http://news.gdmztv.com/2021/277002.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/02/21/1b084f3c3d314f8290cbff41e6ea534f/h264_1200k_mp4.mp4
